scenario,period,tech,energy_gwh,capacity_mw,emissions_tco2
nlv2b_C1_LSFO250_futbrent,2030,Battery storage,-63.63,370.4,0.0
nlv2b_C1_LSFO250_futbrent,2030,Distributed solar (modeled),0.0,674.0,0.0
nlv2b_C1_LSFO250_futbrent,2030,Geothermal (EGS),815.56,100.0,0.0
nlv2b_C1_LSFO250_futbrent,2030,Offshore wind,0.0,0.0,0.0
nlv2b_C1_LSFO250_futbrent,2030,Onshore wind,289.26,150.0,0.0
nlv2b_C1_LSFO250_futbrent,2030,Oil,3877.97,1456.1,2309346.0
nlv2b_C1_LSFO250_futbrent,2030,Utility solar,1732.42,676.1,0.0
nlv2b_C1_LSFO250_futbrent,2030,Waste-to-energy,374.93,86.0,0.0
nlv2b_C1_LSFO250_futbrent,2035,Battery storage,-196.89,756.5,0.0
nlv2b_C1_LSFO250_futbrent,2035,Distributed solar (modeled),0.0,674.0,0.0
nlv2b_C1_LSFO250_futbrent,2035,Geothermal (EGS),815.56,100.0,0.0
nlv2b_C1_LSFO250_futbrent,2035,Offshore wind,0.0,0.0,0.0
nlv2b_C1_LSFO250_futbrent,2035,Onshore wind,279.42,150.0,0.0
nlv2b_C1_LSFO250_futbrent,2035,Oil,2242.74,1300.1,1247773.0
nlv2b_C1_LSFO250_futbrent,2035,Utility solar,3790.66,1554.6,0.0
nlv2b_C1_LSFO250_futbrent,2035,Waste-to-energy,374.93,86.0,0.0
nlv2b_C1_LSFO250_futbrent,2040,Battery storage,-205.51,676.4,0.0
nlv2b_C1_LSFO250_futbrent,2040,Distributed solar (modeled),0.0,674.0,0.0
nlv2b_C1_LSFO250_futbrent,2040,Geothermal (EGS),815.56,100.0,0.0
nlv2b_C1_LSFO250_futbrent,2040,Offshore wind,0.0,0.0,0.0
nlv2b_C1_LSFO250_futbrent,2040,Onshore wind,275.96,150.0,0.0
nlv2b_C1_LSFO250_futbrent,2040,Oil,2467.6,1130.8,1384492.0
nlv2b_C1_LSFO250_futbrent,2040,Utility solar,4281.17,1852.5,0.0
nlv2b_C1_LSFO250_futbrent,2040,Waste-to-energy,374.93,86.0,0.0
nlv2b_C1_LSFO250_futbrent,2045,Battery storage,-380.56,1336.3,0.0
nlv2b_C1_LSFO250_futbrent,2045,Distributed solar (modeled),0.0,391.0,0.0
nlv2b_C1_LSFO250_futbrent,2045,Geothermal (EGS),815.56,100.0,0.0
nlv2b_C1_LSFO250_futbrent,2045,Offshore wind,0.0,0.0,0.0
nlv2b_C1_LSFO250_futbrent,2045,Onshore wind,435.28,150.0,0.0
nlv2b_C1_LSFO250_futbrent,2045,Oil,487.44,1098.0,0.0
nlv2b_C1_LSFO250_futbrent,2045,Utility solar,6995.81,3358.3,0.0
