scenario,period,cost_real_musd_yr,demand_gwh_yr,cost_per_mwh
nlv2b_C5_LNG375_lowbrent_adv,2045,1132.4,7218.2,156.88
nlv2b_C5_LNG375_lowbrent_adv,2050,996.64,7391.2,134.84
nlv2b_C5_LNG375_lowbrent_j120,2027,1219.13,6776.1,179.92
nlv2b_C5_LNG375_lowbrent_j120,2030,1166.49,6856.2,170.14
nlv2b_C5_LNG375_lowbrent_j120,2035,1136.24,6940.2,163.72
nlv2b_C5_LNG375_lowbrent_j120,2040,1303.08,7080.0,184.05
nlv2b_C5_LNG375_lowbrent_j120,2045,1270.09,7218.2,175.96
nlv2b_C5_LNG375_lowbrent_j120,2050,1132.39,7391.2,153.21
nlv2b_C5_LNG375_lowbrent_j120_adv,2027,1211.85,6776.1,178.84
nlv2b_C5_LNG375_lowbrent_j120_adv,2030,1144.15,6856.2,166.88
nlv2b_C5_LNG375_lowbrent_j120_adv,2035,1106.71,6940.2,159.46
nlv2b_C5_LNG375_lowbrent_j120_adv,2040,1242.34,7080.0,175.47
nlv2b_C5_LNG375_lowbrent_j120_adv,2045,1132.42,7218.2,156.88
nlv2b_C5_LNG375_lowbrent_j120_adv,2050,996.51,7391.2,134.82
nlv2b_C5_LNG375_refbrent,2027,1478.58,6776.1,218.21
nlv2b_C5_LNG375_refbrent,2030,1425.24,6856.2,207.88
nlv2b_C5_LNG375_refbrent,2035,1441.24,6940.2,207.67
nlv2b_C5_LNG375_refbrent,2040,1469.97,7080.0,207.62
nlv2b_C5_LNG375_refbrent,2045,1283.1,7218.2,177.76
nlv2b_C5_LNG375_refbrent,2050,1148.88,7391.2,155.44
nlv2b_C5_LNG375_refbrent_adv,2027,1507.63,6776.1,222.49
nlv2b_C5_LNG375_refbrent_adv,2030,1432.03,6856.2,208.87
nlv2b_C5_LNG375_refbrent_adv,2035,1412.1,6940.2,203.47
nlv2b_C5_LNG375_refbrent_adv,2040,1422.13,7080.0,200.86
nlv2b_C5_LNG375_refbrent_adv,2045,1169.0,7218.2,161.95
nlv2b_C5_LNG375_refbrent_adv,2050,1006.97,7391.2,136.24
nlv2b_C5_LNG375_refbrent_j120,2027,1481.53,6776.1,218.64
nlv2b_C5_LNG375_refbrent_j120,2030,1457.31,6856.2,212.55
nlv2b_C5_LNG375_refbrent_j120,2035,1471.13,6940.2,211.97
nlv2b_C5_LNG375_refbrent_j120,2040,1500.87,7080.0,211.99
nlv2b_C5_LNG375_refbrent_j120,2045,1283.35,7218.2,177.79
nlv2b_C5_LNG375_refbrent_j120,2050,1148.74,7391.2,155.42
nlv2b_C5_LNG375_refbrent_j120_adv,2027,1506.08,6776.1,222.26
nlv2b_C5_LNG375_refbrent_j120_adv,2030,1463.91,6856.2,213.52
nlv2b_C5_LNG375_refbrent_j120_adv,2035,1444.28,6940.2,208.1
nlv2b_C5_LNG375_refbrent_j120_adv,2040,1454.26,7080.0,205.4
nlv2b_C5_LNG375_refbrent_j120_adv,2045,1168.73,7218.2,161.91
nlv2b_C5_LNG375_refbrent_j120_adv,2050,1007.8,7391.2,136.35
nlv2b_C6_STATUSQUO_futbrent,2027,1401.07,6776.1,206.77
nlv2b_C6_STATUSQUO_futbrent,2030,1404.87,6856.2,204.9
nlv2b_C6_STATUSQUO_futbrent,2035,1394.22,6940.2,200.89
nlv2b_C6_STATUSQUO_futbrent,2040,1517.19,7080.0,214.29
nlv2b_C6_STATUSQUO_futbrent,2045,1380.95,7218.2,191.31
nlv2b_C6_STATUSQUO_futbrent,2050,1241.06,7391.2,167.91
nlv2b_C6_STATUSQUO_futbrent_adv,2027,1404.09,6776.1,207.21
nlv2b_C6_STATUSQUO_futbrent_adv,2030,1390.57,6856.2,202.82
nlv2b_C6_STATUSQUO_futbrent_adv,2035,1370.92,6940.2,197.53
nlv2b_C6_STATUSQUO_futbrent_adv,2040,1449.79,7080.0,204.77
