GENERATION_PROJECT,build_year,gen_overnight_cost,gen_storage_energy_overnight_cost,gen_fixed_om
Oahu_SlopedDistPV_Oahu_SlopedDistPV_3,2017,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_3,2018,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_3,2019,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_3,2020,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_3,2045,2346009.764289,.,17974.972251
Oahu_SlopedDistPV_Oahu_SlopedDistPV_4,2045,2346009.764289,.,17974.972251
Oahu_SlopedDistPV_Oahu_SlopedDistPV_5,2013,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_5,2014,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_5,2015,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_5,2016,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_5,2017,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_5,2018,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_5,2019,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_5,2020,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_5,2045,2346009.764289,.,17974.972251
Oahu_SlopedDistPV_Oahu_SlopedDistPV_6,2045,2346009.764289,.,17974.972251
Oahu_SlopedDistPV_Oahu_SlopedDistPV_7,2013,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_7,2014,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_7,2015,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_7,2016,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_7,2017,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_7,2018,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_7,2019,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_7,2020,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_7,2045,2346009.764289,.,17974.972251
Oahu_SlopedDistPV_Oahu_SlopedDistPV_8,2045,2346009.764289,.,17974.972251
Oahu_SlopedDistPV_Oahu_SlopedDistPV_9,2013,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_9,2014,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_9,2015,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_9,2016,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_9,2017,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_9,2018,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_9,2019,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_9,2020,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_9,2045,2346009.764289,.,17974.972251
Oahu_Tesoro_Hawaii,1990,633029.216181,.,21638.089571
Oahu_Waiau_10,1973,676626.207886,.,21638.089571
Oahu_Waiau_7,1966,676626.207886,.,12200.199439
Oahu_Waiau_8,1968,676626.207886,.,12200.199439
Oahu_Waiau_9,1973,676626.207886,.,21638.089571
Oahu_EGS,2045,4500000.00,.,170545.55
Oahu_LSFO_CCGT,2045,2300000,.,30000
Oahu_Puuloa,2027,3000000,.,45000
